"","car_park_no","lat","lon"
"1","ACB",1.30106327208749,103.854118049931
"2","ACM",1.32100429010596,103.885060947615
"3","AH1",1.3282834951094,103.844619889146
"4","AK19",1.36909121614356,103.834984850341
"5","AK31",1.36612042431733,103.846635631616
"6","AK52",1.37243863344224,103.850295697425
"7","AK6",1.37483592945335,103.844853841562
"8","AK83",1.37667820868216,103.863845113107
"9","AK9",1.38359905765514,103.848368086654
"10","AM16",1.37034980121361,103.835718285157
"11","AM18",1.36554001278626,103.844619390219
"12","AM19",1.36888619793395,103.834531023822
"13","AM20",1.36469773293712,103.846088586118
"14","AM22",1.36458829147512,103.847653026353
"15","AM32",1.37053252446107,103.834376815543
"16","AM43",1.36861071867199,103.857303546668
"17","AM46",1.3721783233234,103.853396384416
"18","AM51",1.36991500171885,103.846698516497
"19","AM64",1.37145702029469,103.853098246057
"20","AM79",1.37232822920642,103.851327945649
"21","AM80",1.37064699017156,103.841861490483
"22","AM81",1.37163924205586,103.841947812524
"23","AM96",1.36407414927882,103.850940371229
"24","AR1L",1.30387671852445,103.782631779204
"25","AR1M",1.30284868402082,103.783666774324
"26","AR2L",1.30591323446221,103.781154655174
"27","AR2M",1.30473889283041,103.781674489325
"28","AR5M",1.30734352659319,103.784463330084
"29","AR7L",1.30580772056187,103.785591136571
"30","AR7M",1.30477137726805,103.785192003839
"31","AR9",1.30728436270956,103.783439640596
"32","AV1",1.28558255499231,103.803215264159
"33","AV1K",1.28563749200534,103.804741042579
"34","AV2",1.28491128562143,103.805837442388
"35","A1",1.36671439877569,103.841712811912
"36","A10",1.36863298161408,103.844524015177
"37","A100",1.37798747319494,103.842602544842
"38","A11",1.36703553385711,103.838181096851
"39","A12",1.36850982748189,103.838675313237
"40","A13",1.36800022165129,103.836809611886
"41","A15",1.36696761050684,103.84041745597
"42","A2",1.36623705577412,103.8430463972
"43","A20",1.36494338064154,103.848457091822
"44","A21",1.36812755861891,103.846313224171
"45","A23",1.36733546645361,103.848913340117
"46","A24",1.3647534118811,103.849397652774
"47","A25",1.36276930742851,103.851627489277
"48","A26",1.372770202219,103.835447564147
"49","A27",1.37036305154677,103.838320651541
"50","A28",1.37164992828137,103.837464288149
"51","A29",1.36722625942018,103.848715596645
"52","A30",1.37098974668814,103.842418972199
"53","A30A",1.37021813453773,103.842758605575
"54","A31",1.37045111927825,103.843699944533
"55","A31A",1.37185934032305,103.843658166136
"56","A33",1.37002101134143,103.83469194577
"57","A34",1.36835647321903,103.851667374102
"58","A35",1.36864639260533,103.854081474114
"59","A36",1.36640712809735,103.85527878733
"60","A37",1.36811306848691,103.855556550702
"61","A38",1.36396370580403,103.854588382711
"62","A39",1.36115102165868,103.854072154634
"63","A4",1.36569162058714,103.841192165018
"64","A40",1.36235615053786,103.856982085985
"65","A41",1.3649369353058,103.85693260005
"66","A42",1.36658018162896,103.857363892393
"67","A43",1.36599673554933,103.859267271977
"68","A44",1.36720574327323,103.858990508529
"69","A45",1.37091769306746,103.85523049601
"70","A47",1.37055816705133,103.859246608911
"71","A48",1.37037128145781,103.85465226093
"72","A49",1.37132960595493,103.857797087664
"73","A50",1.37252246424224,103.857609567953
"74","A51",1.36947073929344,103.834375345023
"75","A52",1.37038543265125,103.846922547118
"76","A52L",1.36928063398219,103.84613433584
"77","A53",1.37086502270011,103.846877308583
"78","A54",1.37243435950977,103.845915354586
"79","A55",1.37363853629212,103.846666862503
"80","A56",1.37269867573371,103.847146218183
"81","A57",1.37201961047575,103.846964164671
"82","A58",1.37234700755733,103.847724114309
"83","A59",1.37389622141273,103.858139784101
"84","A60",1.37446449543798,103.855913418751
"85","A61",1.37417044612362,103.852160015472
"86","A63",1.37521713052952,103.849399082007
"87","A64",1.37053486870123,103.853461797452
"88","A65",1.37102915896011,103.859417207625
"89","A66",1.38054493090841,103.835660622978
"90","A67",1.37968632444613,103.837804889389
"91","A68",1.38189761856602,103.839854214827
"92","A69",1.38164145794217,103.841945435749
"93","A7",1.36839248702169,103.841301754389
"94","A70",1.38062064114195,103.840107206764
"95","A71",1.38000909369531,103.840741896718
"96","A72",1.38076096265734,103.843530338174
"97","A73",1.37884818913778,103.840824696696
"98","A74",1.37865168028373,103.843804663727
"99","A75",1.37620217806234,103.838684557747
"100","A76",1.3779771118917,103.838834804976
"101","A77",1.37635314935273,103.839978570299
"102","A78",1.37469471114539,103.838386790934
"103","A8",1.36875607099323,103.843307711467
"104","A81",1.37435555252556,103.836478794681
"105","A82",1.37567492239482,103.836398652723
"106","A83",1.37430755963649,103.860696540911
"107","A85",1.36510737794777,103.84970936856
"108","A86",1.36188489083075,103.85652048735
"109","A87",1.36682635874641,103.857884237373
"110","A88",1.36628071567192,103.84726652679
"111","A89",1.37045918304517,103.839367845908
"112","A9",1.36807436997813,103.844392197806
"113","A90",1.38200068921511,103.841247224571
"114","A94",1.37185982688331,103.838315961401
"115","A95",1.36751862800778,103.847803809281
"116","A98",1.36916431059637,103.831854209648
"117","A99",1.37698525725514,103.837213891969
"118","BA1",1.33365267993549,103.870798394275
"119","BBB",1.29658002772561,103.853663206401
"120","BBM1",1.34643665368638,103.745382274251
"121","BBM2",1.35086707070928,103.749882248379
"122","BBM3",1.34450628322565,103.75991777084
"123","BBM4",1.34555069828431,103.760178963792
"124","BBM5",1.34324288507703,103.757933611524
