,car_park_no,lat,lon
0,ACB,1.2904298744155682,103.8646817883019
1,ACM,1.3215724306085168,103.88449548602189
2,AH1,1.280869599387385,103.89172645920107
3,AK19,1.2711709969870715,103.93227085145858
4,AK31,1.2828970262799968,103.92931968434966
5,AK52,1.2865804049558267,103.93559735628625
6,AK6,1.2811033627365924,103.93797895514265
7,AK83,1.3002169300730708,103.939810325696
8,AK9,1.2846398276561268,103.94668579164583
9,AM16,1.2719091108503946,103.93352135111229
10,AM18,1.2808678069386106,103.9287429268192
11,AM19,1.2707142523500659,103.93206713744745
12,AM20,1.2823465134891419,103.92790613575966
13,AM22,1.2839210481677013,103.92779746597616
14,AM32,1.2705589856483899,103.93370284324186
15,AM43,1.2936336161311426,103.93179442942112
16,AM46,1.2897010914602387,103.9353388710132
17,AM51,1.2829601504322972,103.93308981704612
18,AM64,1.2894010660333965,103.93462219895427
19,AM79,1.2876193122626916,103.93548771208866
20,AM80,1.2780919084319395,103.93381687779126
21,AM81,1.278178744396056,103.93480273864677
22,AM96,1.28722961742935,103.92728677876333
23,AR1L,1.2184806247049378,103.86747661093452
24,AR1M,1.2195223152363137,103.86645521565741
25,AR2L,1.2169939501734914,103.86949996948084
26,AR2M,1.2175171418414878,103.86833321759545
27,AR5M,1.220324058221623,103.87092099240733
28,AR7L,1.2214591588262536,103.86939510913051
29,AR7M,1.2210574354311996,103.86836546799145
30,AR9,1.219293740231241,103.87086221688504
31,AV1,1.2391973639759684,103.84930053182353
32,AV1K,1.2407330345188372,103.84935510572251
33,AV2,1.2418365388828,103.84863358340844
34,A1,1.277942435925317,103.9299096243717
35,A10,1.280771685427444,103.93181596193607
36,A100,1.2788374139947278,103.94111008706928
37,A11,1.2743879336627433,103.93022854711124
38,A12,1.2748852777956543,103.93169335730622
39,A13,1.2730075669421534,103.9311869620549
40,A15,1.27663871653581,103.93016115127706
41,A2,1.2792846407554173,103.92943541260452
42,A20,1.2847302840532127,103.92815030230307
43,A21,1.2825724528003346,103.93131387312152
44,A23,1.2851893694292271,103.93052699858785
45,A24,1.2856769192929596,103.9279615982522
46,A25,1.2879212248518288,103.92599037143309
47,A26,1.2716365473193352,103.93592613660594
48,A27,1.274528254039458,103.93353462114594
49,A28,1.2736663171542737,103.9348131672487
50,A29,1.2849903557102198,103.93041848625917
51,A30,1.2786529693808382,103.93415744928917
52,A30A,1.2789948254794608,103.9333908243052
53,A31,1.2799422231249973,103.93362234829728
54,A31A,1.2799001138734443,103.93502149297768
55,A33,1.2708761676000908,103.93319464047129
56,A34,1.2879611151626158,103.9315415536328
57,A35,1.290390767048629,103.9318297187447
58,A36,1.291595906379416,103.92960493061379
59,A37,1.2918753799667537,103.93129989917169
60,A38,1.29090116250671,103.92717721051288
61,A39,1.2903817313039174,103.92438261566754
62,A4,1.2774184731856697,103.92889341649328
63,A40,1.2933103792377045,103.9255801163145
64,A41,1.2932604537164358,103.92814428219461
65,A42,1.2936944492461362,103.92977696892692
66,A43,1.2956101313378454,103.92919737108134
67,A44,1.2953315241634955,103.93039858198581
68,A45,1.2915470876672737,103.93408644812631
69,A47,1.2955891091174618,103.9337294361843
70,A48,1.290965151371818,103.93354352708126
71,A49,1.294130204585957,103.93449583562338
72,A50,1.293941416100289,103.93568100431607
73,A51,1.2705575471360808,103.93264790393397
74,A52,1.283185604348553,103.93355722713541
75,A52L,1.2823923604721885,103.93245951145975
76,A53,1.2831400526228405,103.93403372529659
77,A54,1.2821718267732871,103.93559290760588
78,A55,1.2829281237752441,103.93678936015266
79,A56,1.2834106123778921,103.93585557690196
80,A57,1.2832274163664137,103.9351808783277
81,A58,1.2839922497273106,103.93550620089195
82,A59,1.294474979912546,103.93704594364303
83,A60,1.2922342363584975,103.93761044539363
84,A61,1.2884566565864095,103.93731810361169
85,A63,1.2856778785383607,103.93835791276854
86,A64,1.2897670053019816,103.9337060036216
87,A65,1.2957607838095404,103.93419740457793
88,A66,1.2718506512824486,103.94365074863076
89,A67,1.274008770057797,103.94279777192497
90,A68,1.2760711976673604,103.94499490457704
91,A69,1.278175901698662,103.9447404923749
92,A7,1.2775286584967112,103.93157688079006
93,A70,1.2763258780653477,103.94372616973314
94,A71,1.2769646849752925,103.94311859305098
95,A72,1.2797710556539617,103.94386574629465
96,A73,1.277048071368119,103.94196517464346
97,A74,1.2800472477943494,103.9417700694152
98,A75,1.2748942594770079,103.93933612380135
99,A76,1.2750453971711242,103.94109962294195
100,A77,1.2761966044018953,103.93948617854569
101,A78,1.2745946385513174,103.93783836130746
102,A8,1.2795475341320672,103.93193820604816
103,A81,1.272674359421247,103.93750130856601
104,A82,1.272593645632653,103.93881216926498
105,A83,1.2970481941624747,103.93745476651677
106,A85,1.285990629902774,103.92831329790941
107,A86,1.2928458246948855,103.92511186966064
108,A87,1.2942181378184805,103.93002158612916
109,A88,1.2835319830185532,103.92947897027655
110,A89,1.2755821956206106,103.93363017617492
111,A9,1.280639042113062,103.9312609441136
112,A90,1.2774731759680293,103.94509737563722
113,A94,1.274523471892868,103.93502174798992
114,A95,1.284072675988377,103.93070893102696
115,A98,1.2680201685874049,103.93234335467541
116,A99,1.2734140826695148,103.94011409144218
117,BA1,1.3072171417907796,103.89706196742277
118,BBB,1.289972172459141,103.86022740315533
119,BBM1,1.1809905297190333,103.90976137291614
120,BBM2,1.185519596665621,103.91416305774855
121,BBM3,1.1956199082162289,103.90784342094311
122,BBM4,1.1958827911669823,103.90888107373745
123,BBM5,1.1936229266020117,103.9065882096037
124,BBM6,1.190723043991377,103.90620747227047
125,BBM7,1.17929289040336,103.91067411000549
126,BBM8,1.1841390059955295,103.91327109519183
127,BBM9,1.1874214057638255,103.92902969394028
128,BE10,1.2896005288200878,103.91105895494255
129,BE11,1.2893447559503188,103.91308423659706
130,BE12,1.2872529926598402,103.91331677651667
131,BE13,1.287821452574159,103.90822178186356
132,BE14,1.291750631658987,103.91038151560006
133,BE15,1.2911534310319581,103.9084973387004
134,BE16,1.2712477612731412,103.92751000873805
135,BE17,1.2839467176520316,103.92622710614582
136,BE18,1.2672475563789931,103.92159983703502
137,BE19,1.2844739505771958,103.91216591804272
138,BE20,1.2849399926749414,103.91220183614257
139,BE21,1.285318133595013,103.91193674009983
140,BE22,1.2859365044665405,103.91274345223724
141,BE23,1.2860451368804158,103.91339852304093
142,BE24,1.283750144816544,103.91860110641908
143,BE25,1.2845815668531226,103.91842434290751
144,BE26,1.2847302656262023,103.91916044415915
145,BE27,1.2849058077313555,103.91991652719024
146,BE28,1.2843212550538232,103.92117789556632
147,BE29,1.2821578628852337,103.92070777423405
148,BE3,1.270589235415292,103.92558680773136
149,BE3R,1.2716312074020257,103.92638366458094
150,BE3T,1.267741313826627,103.92434993510903
151,BE30,1.2827058545521814,103.92071899488846
152,BE31,1.2823534534618486,103.92211283422677
153,BE32,1.282934397175118,103.92241504962497
154,BE33,1.2810699926817888,103.9234082192954
155,BE34,1.2798637758982403,103.92419341481147
156,BE35,1.2793231444670037,103.9246500779243
157,BE36,1.2807835819516407,103.92074991668476
158,BE37,1.2806682779165641,103.92125937975989
159,BE38,1.2808148328363416,103.92214433517843
160,BE39,1.278202927464615,103.9224400875294
161,BE4,1.284651196249433,103.90982129343267
162,BE40,1.278876128318028,103.92056703765209
163,BE42,1.2807965026943866,103.91882898556351
164,BE44,1.2677950588147853,103.92108294138963
165,BE45,1.279916484572858,103.91957070495482
166,BE5,1.2872511702381013,103.90950527623089
167,BE6,1.28817945818258,103.90808535259666
168,BE7,1.2893263561586004,103.90834022828867
169,BE8,1.291633096368437,103.90777566778546
170,BE9,1.2925065608606885,103.91049196823361
171,BH1,1.2786957563190027,103.88845548430224
172,BH2,1.2789990555122173,103.88950330467982
173,BJMP,1.209304913961699,103.94088837907516
174,BJ1,1.2050857286994239,103.93710323328582
175,BJ10,1.2064263993459738,103.94205361287914
176,BJ11,1.207659042378707,103.94386622534282
177,BJ12,1.2102845043234454,103.94335914355037
178,BJ13,1.210576637004154,103.94013053172446
179,BJ14,1.2093188151464551,103.94210099676852
180,BJ15,1.2095732901684397,103.9406182006208
181,BJ16,1.2094106724140283,103.94063015523369
182,BJ17,1.2047059140845848,103.94434958051735
183,BJ18,1.2038663412978396,103.94407112057883
184,BJ19,1.204140425477923,103.94711508441917
185,BJ2,1.2024068673981265,103.93926745642985
186,BJ20,1.2055471800355355,103.94912619374324
187,BJ21,1.2064432382475008,103.94901377303977
188,BJ22,1.2092926985792853,103.94141225179467
189,BJ23,1.2087371360541417,103.94075735184263
190,BJ24,1.2062382338330242,103.94635379906288
191,BJ25,1.2075032219906,103.94797490654236
192,BJ26,1.208483710077634,103.94689191989647
193,BJ27,1.2067235214609846,103.94573091792317
194,BJ28,1.2012843119835226,103.94203919029134
195,BJ29,1.2034350915640135,103.94801355474846
196,BJ3,1.2051403617623289,103.94043504596229
197,BJ30,1.2047396468001852,103.950091230227
198,BJ31,1.2032693195936102,103.95095445268156
199,BJ32,1.2025942370798934,103.94962238541746
200,BJ33,1.2077910952064936,103.94223268120707
201,BJ34,1.2022344128377942,103.95085300704636
202,BJ35,1.2016124671673185,103.95008626599588
203,BJ36,1.2010324805658201,103.9493297458022
204,BJ37,1.200393188129691,103.94844839802839
205,BJ38,1.1991512256123407,103.94821081090927
206,BJ39,1.1985810096661833,103.94731176893312
207,BJ4,1.2080395432792859,103.9386677761565
208,BJ40,1.198622873837007,103.94591486171902
209,BJ41,1.2011922384746538,103.93864849536553
210,BJ42,1.200016656329562,103.94004858961871
211,BJ43,1.1973909630477817,103.94481666250469
212,BJ44,1.2007214780737245,103.94375213079128
213,BJ45,1.200743629376139,103.94180384476158
214,BJ48,1.2003351552111845,103.95024666038975
215,BJ49,1.1971988392464976,103.94797310558808
216,BJ5,1.2088641197581271,103.93813145621493
217,BJ50,1.2094795516861583,103.95123855307436
218,BJ51,1.1991891606308578,103.94250967656124
219,BJ52,1.198357471047408,103.94222646597778
220,BJ53,1.2077113562783584,103.95284685662398
221,BJ54,1.2092895027402901,103.9520967722181
222,BJ55,1.1964844494540225,103.94934961181457
223,BJ56,1.1946455681712886,103.94896039914495
224,BJ57,1.1958740510137198,103.94832454327666
225,BJ58,1.2070476969737711,103.950583210573
226,BJ59,1.2070391428905105,103.95290871763066
227,BJ6,1.2102017715572786,103.93731663363083
228,BJ60,1.2052635056009622,103.95134519809439
229,BJ61,1.2035841767923046,103.95204651105865
230,BJ62,1.2071722514098,103.94734847646988
231,BJ63,1.2060599971775436,103.9444144548568
232,BJ65,1.1944559085811728,103.94778102478703
233,BJ66,1.193390309000017,103.94931543218331
234,BJ67,1.1936723930535125,103.95040968277668
235,BJ68,1.2057369405748872,103.94845435089519
236,BJ8,1.209386080117883,103.93784152891358
237,BKE1,1.2878916909288947,103.87139388958548
238,BKE2,1.2918002989084025,103.87766252361361
239,BKE3,1.2921232506163085,103.87794781628494
240,BKE4,1.293170105356622,103.87798275820053
241,BKE7,1.291641305032201,103.87615713536485
242,BKE9,1.287758301570547,103.87091527101917
243,BKRM,1.2977264406166393,103.88079062955772
244,BLM,1.2973144818008968,103.8790321456728
245,BL10,1.1468139658292769,103.90710446005278
246,BL13,1.150447373906124,103.90802908332623
247,BL15,1.142926124975447,103.90929989254927
248,BL17,1.143105817563034,103.9111872787289
249,BL18,1.149832095132936,103.90987401557096
